iter	Passed	Remaining
0	138	137990
1	138	69191
2	139	46245
3	139	34769
4	140	27919
5	140	23348
6	141	20095
7	142	17664
8	143	15749
9	143	14245
10	144	13017
11	145	11998
12	146	11122
13	147	10367
14	147	9708
15	148	9133
16	149	8637
17	150	8189
18	150	7782
19	151	7409
20	151	7072
21	152	6766
22	152	6485
23	153	6228
24	153	5991
25	154	5777
26	155	5589
27	155	5402
28	156	5227
29	156	5064
30	157	4912
31	157	4768
32	158	4635
33	158	4510
34	159	4391
35	159	4277
36	160	4170
37	160	4068
38	161	3971
39	161	3880
40	162	3792
41	163	3722
42	163	3643
43	164	3568
44	164	3495
45	165	3425
46	165	3358
47	166	3295
48	166	3234
49	167	3177
50	167	3121
51	168	3067
52	169	3021
53	169	2971
54	170	2924
55	170	2877
56	171	2833
57	171	2789
58	172	2747
59	172	2706
60	173	2666
61	173	2628
62	174	2591
63	174	2554
64	175	2520
65	175	2487
66	176	2455
67	176	2423
68	177	2392
69	177	2362
70	178	2333
71	178	2304
72	179	2276
73	179	2249
74	180	2222
75	180	2197
76	181	2172
77	181	2147
78	182	2123
79	182	2100
80	183	2077
81	183	2057
82	184	2033
83	184	2014
84	185	1994
85	185	1975
86	186	1956
87	187	1938
88	187	1919
89	188	1901
90	188	1883
91	189	1865
92	189	1847
93	189	1831
94	190	1814
95	190	1798
96	191	1781
97	191	1765
98	192	1750
99	192	1735
100	193	1720
101	193	1706
102	194	1691
103	194	1677
104	195	1664
105	195	1650
106	196	1637
107	196	1623
108	197	1611
109	197	1598
110	198	1586
111	198	1574
112	199	1563
113	199	1551
114	200	1540
115	200	1528
116	201	1517
117	201	1506
118	202	1495
119	202	1484
120	202	1474
121	203	1463
122	203	1453
123	204	1443
124	204	1434
125	205	1424
126	205	1414
127	206	1404
128	206	1395
129	207	1386
130	207	1377
131	208	1368
132	208	1359
133	209	1350
134	209	1342
135	209	1333
136	210	1325
137	210	1317
138	211	1309
139	211	1301
140	212	1293
141	212	1285
142	213	1277
143	213	1271
144	214	1264
145	214	1256
146	215	1249
147	215	1242
148	216	1236
149	216	1229
150	217	1222
151	217	1215
152	218	1208
153	218	1202
154	219	1195
155	219	1189
156	220	1182
157	220	1176
158	221	1170
159	221	1164
160	222	1157
161	222	1151
162	223	1145
163	223	1139
164	223	1133
165	224	1127
166	224	1121
167	225	1115
168	225	1110
169	226	1105
170	226	1099
171	227	1094
172	227	1088
173	228	1083
174	228	1078
175	229	1074
176	230	1069
177	230	1065
178	231	1061
179	232	1057
180	232	1052
181	233	1047
182	233	1042
183	234	1037
184	234	1033
185	234	1028
186	235	1023
187	235	1019
188	236	1014
189	236	1009
190	237	1005
191	237	1000
192	238	996
193	238	992
194	239	987
195	239	983
196	240	979
197	240	974
198	241	970
199	241	966
200	242	962
201	242	958
202	243	954
203	243	950
204	244	946
205	244	944
206	245	940
207	246	936
208	246	933
209	247	929
210	247	926
211	248	922
212	248	918
